time	V(out)	V(rst)	V(vin)
1.459316538609698e-005	7.758898e-003	3.923586e-001	-2.000000e+000
1.459364476478203e-005	7.781943e-003	3.784304e-001	-2.000000e+000
1.459412064208292e-005	7.804675e-003	3.647659e-001	-2.000000e+000
1.459461163191302e-005	7.827962e-003	3.515592e-001	-2.000000e+000
1.459512770221051e-005	7.852247e-003	3.388823e-001	-2.000000e+000
1.459569180849907e-005	7.878564e-003	3.266285e-001	-2.000000e+000
1.459638129441392e-005	7.910417e-003	3.139576e-001	-2.000000e+000
1.459690852144520e-005	7.934557e-003	3.066165e-001	-2.000000e+000
1.459753690778257e-005	7.963109e-003	3.013034e-001	-2.000000e+000
1.459812220788267e-005	7.989514e-003	3.001321e-001	-2.000000e+000
1.459898239563904e-005	8.028051e-003	3.039816e-001	-2.000000e+000
1.459990401560386e-005	8.069062e-003	3.120854e-001	-2.000000e+000
1.460035995592314e-005	8.089268e-003	3.168952e-001	-2.000000e+000
1.460084995235285e-005	8.110937e-003	3.218264e-001	-2.000000e+000
1.460134840556973e-005	8.132941e-003	3.259834e-001	-2.000000e+000
1.460182099592781e-005	8.153773e-003	3.289334e-001	-2.000000e+000
1.460223713813496e-005	8.172097e-003	3.306710e-001	-2.000000e+000
1.460261009695375e-005	8.188506e-003	3.315601e-001	-2.000000e+000
1.460296023972466e-005	8.203899e-003	3.318057e-001	-2.000000e+000
1.460366052526649e-005	8.234661e-003	3.313257e-001	-2.000000e+000
1.460413722633835e-005	8.255582e-003	3.305076e-001	-2.000000e+000
1.460466621760226e-005	8.278782e-003	3.292328e-001	-2.000000e+000
1.460524046111200e-005	8.303949e-003	3.277498e-001	-2.000000e+000
1.460581925450430e-005	8.329294e-003	3.263409e-001	-2.000000e+000
1.460636670447716e-005	8.353250e-003	3.252156e-001	-2.000000e+000
1.460686323759432e-005	8.374964e-003	3.244348e-001	-2.000000e+000
1.460727852611379e-005	8.393115e-003	3.239883e-001	-2.000000e+000
1.460769113313631e-005	8.411140e-003	3.237340e-001	-2.000000e+000
1.460809703460266e-005	8.428865e-003	3.236731e-001	-2.000000e+000
1.460889647380377e-005	8.463752e-003	3.238789e-001	-2.000000e+000
1.460943264051199e-005	8.487135e-003	3.241790e-001	-2.000000e+000
1.461000122943249e-005	8.511920e-003	3.246056e-001	-2.000000e+000
1.461057797745952e-005	8.537049e-003	3.250547e-001	-2.000000e+000
1.461115194545784e-005	8.562045e-003	3.254642e-001	-2.000000e+000
1.461170280533072e-005	8.586024e-003	3.257880e-001	-2.000000e+000
1.461221404864078e-005	8.608270e-003	3.260127e-001	-2.000000e+000
1.461345297657818e-005	8.662141e-003	3.262382e-001	-2.000000e+000
1.461422397242667e-005	8.695639e-003	3.262111e-001	-2.000000e+000
1.461478758575504e-005	8.720113e-003	3.261558e-001	-2.000000e+000
